Horses,1st,2nd,3rd,starts,win,place,roi
Kalalo,4,0,3,12,33.3,58.3,33.33
Pacific Tycoon,4,2,2,19,21.1,42.1,86.32
Rosherville,4,0,3,10,40.0,70.0,13.50
Parliament,4,0,1,5,80.0,100.0,338.00
Golden Comet,4,0,3,13,30.8,53.8,18.46
Set to Cruise,4,1,2,12,33.3,58.3,96.67
Takings,4,0,0,6,66.7,66.7,105.00
Jet Train,4,2,0,11,36.4,54.5,77.27
Under God's Sky,4,3,0,13,30.8,53.8,198.46
One Point Lady,4,0,1,11,36.4,45.5,58.18
Directory,4,0,1,12,33.3,41.7,20.83
Barachiel,4,2,2,11,36.4,72.7,25.45
Just Stellar,4,1,3,17,23.5,47.1,88.24
Tarbert,4,2,0,7,57.1,85.7,72.86
Run Hoff Run,4,5,2,22,18.2,50.0,-4.55
O'driscoll,4,1,0,11,36.4,45.5,117.27
Gee Gees Queenie,4,2,2,14,28.6,57.1,65.00
Dinisty,4,2,3,17,23.5,52.9,71.76
Knotted,4,2,2,19,21.1,42.1,-23.16
Love Squirrels,4,1,0,9,44.4,55.6,124.44
Needy Rocket,4,1,1,11,36.4,54.5,67.27
Isle of Light,4,0,2,11,36.4,54.5,58.18
Kaptan Apollo,4,0,2,11,36.4,54.5,10.00
Badge of Courage,4,4,1,12,33.3,75.0,33.75
Comic Story,4,0,2,8,50.0,75.0,83.75
Shiranda,4,0,1,16,25.0,31.3,9.38
Balearic,4,1,2,10,40.0,70.0,2.00
Polar Blast,4,3,0,7,57.1,100.0,52.86
Gee Gee Fiorente,4,0,1,10,40.0,50.0,134.00
On Show,4,1,1,7,57.1,85.7,13.57
Podium Bound,4,2,2,12,33.3,66.7,244.17
Exalted Maxine,4,1,1,15,26.7,40.0,-39.33
Favonski,4,1,1,11,36.4,54.5,59.09
Fulton Street,4,1,1,10,40.0,60.0,12.00
Tolstoy,4,1,3,12,33.3,66.7,59.17
Cosmological,4,2,0,11,36.4,54.5,-35.91
Rare Selection,4,1,2,14,28.6,50.0,112.86
Eight Over,4,1,2,10,40.0,70.0,-9.20
Montre,4,4,0,16,25.0,50.0,62.50
Real Supremacy,4,1,1,11,36.4,54.5,117.27
Money Talk,4,0,0,8,50.0,50.0,239.38
