Horses,1st,2nd,3rd,starts,win,place,roi
Outgirl,0,0,0,4,0.0,0.0,-100.00
Exceedingly Brave,0,0,0,3,0.0,0.0,-100.00
Heavens Star,0,0,0,3,0.0,0.0,-100.00
Florid,0,0,0,4,0.0,0.0,-100.00
Hezagoa,0,0,0,2,0.0,0.0,-100.00
Khaleesi,0,0,0,4,0.0,0.0,-100.00
A Song for Grace,0,0,0,3,0.0,0.0,-100.00
Foxarelli,0,0,0,4,0.0,0.0,-100.00
Give Us a Go,0,0,0,2,0.0,0.0,-100.00
Mr Gogarty,0,0,0,3,0.0,0.0,-100.00
Untie The Knot,0,0,0,1,0.0,0.0,-100.00
Mona's Pride,0,0,0,3,0.0,0.0,-100.00
Jilted Girl,0,0,0,3,0.0,0.0,-100.00
Craiglea Pistol,0,0,0,3,0.0,0.0,-100.00
Toy Meeka,0,0,0,4,0.0,0.0,-100.00
Bloomin' Arry,0,0,1,5,0.0,20.0,-100.00
Spirit Off,0,0,0,2,0.0,0.0,-100.00
Me As I Am,0,0,0,3,0.0,0.0,-100.00
Naughty Rabbit,0,0,1,3,0.0,33.3,-100.00
Halayr Rothestar,0,0,0,5,0.0,0.0,-100.00
Brilliant Venture,0,0,0,1,0.0,0.0,-100.00
Astronomic,0,0,0,4,0.0,0.0,-100.00
Space Shrapnel,0,0,0,3,0.0,0.0,-100.00
Castleton,0,0,0,3,0.0,0.0,-100.00
Who Said So,0,0,0,3,0.0,0.0,-100.00
Dan's Dream,0,0,0,4,0.0,0.0,-100.00
Sarcastic,0,0,0,2,0.0,0.0,-100.00
Jane's Dream,0,0,0,3,0.0,0.0,-100.00
Defiable,0,0,0,5,0.0,0.0,-100.00
Marley May,0,0,0,2,0.0,0.0,-100.00
Carlistos,0,0,0,3,0.0,0.0,-100.00
Marchigiano,0,0,0,8,0.0,0.0,-100.00
Hoffski,0,0,0,5,0.0,0.0,-100.00
Orchestral Lass,0,0,0,2,0.0,0.0,-100.00
Milk 'n' Brandy,0,0,0,3,0.0,0.0,-100.00
Splash,0,0,0,2,0.0,0.0,-100.00
Conquer the Moment,0,0,0,4,0.0,0.0,-100.00
Peer Of Blue,0,0,0,3,0.0,0.0,-100.00
Samikosho,0,0,0,4,0.0,0.0,-100.00
Gold Warrior,0,0,0,2,0.0,0.0,-100.00
What Diddy Say,0,0,0,3,0.0,0.0,-100.00
Morning Fare,0,0,0,6,0.0,0.0,-100.00
Every Breath,0,0,0,5,0.0,0.0,-100.00
Craiglea Maxx,0,0,0,3,0.0,0.0,-100.00
Arabian Affairs,0,0,0,2,0.0,0.0,-100.00
Halfback Baz,0,0,0,4,0.0,0.0,-100.00
Constant Watch,0,0,0,4,0.0,0.0,-100.00
Dragon Bells,0,0,0,5,0.0,0.0,-100.00
Mengjun Glory,0,0,0,5,0.0,0.0,-100.00
Bernara,0,0,0,2,0.0,0.0,-100.00
Strategic Mota,0,0,0,1,0.0,0.0,-100.00
Bralca's Gem,0,0,0,1,0.0,0.0,-100.00
Keep to the River,0,0,0,1,0.0,0.0,-100.00
Naduri,0,0,0,1,0.0,0.0,-100.00
Isca Augusta,0,0,0,1,0.0,0.0,-100.00
Hoy Bud,0,0,0,2,0.0,0.0,-100.00
Finca Cortesin,0,0,0,4,0.0,0.0,-100.00
Moss Heart,0,0,0,5,0.0,0.0,-100.00
Runs for Fun,0,0,0,3,0.0,0.0,-100.00
Killorglin,0,0,0,6,0.0,0.0,-100.00
Golden Wallabie,0,0,0,3,0.0,0.0,-100.00
Justawalkinthepark,0,0,0,4,0.0,0.0,-100.00
Miss D'amina,0,0,0,4,0.0,0.0,-100.00
Living Daylights,0,0,0,3,0.0,0.0,-100.00
Street Fair,0,0,0,3,0.0,0.0,-100.00
Aristocat,0,0,0,10,0.0,0.0,-100.00
Dumb Missile,0,0,0,2,0.0,0.0,-100.00
Bo Peep Road,0,0,0,2,0.0,0.0,-100.00
Lord Canford,0,0,0,3,0.0,0.0,-100.00
Wave Of Success,0,0,0,2,0.0,0.0,-100.00
Dance Cockey,0,0,0,2,0.0,0.0,-100.00
Most Elegant,0,0,0,2,0.0,0.0,-100.00
Abitazar,0,0,0,3,0.0,0.0,-100.00
General's Bride,0,0,0,5,0.0,0.0,-100.00
Sri Saam,0,0,0,2,0.0,0.0,-100.00
Blitz Glory,0,0,0,4,0.0,0.0,-100.00
Veridium,0,0,0,2,0.0,0.0,-100.00
Brungle Zoey,0,0,0,3,0.0,0.0,-100.00
Bambalam,0,0,0,2,0.0,0.0,-100.00
Firestreaker,0,0,0,3,0.0,0.0,-100.00
Deep in Thought,0,0,0,2,0.0,0.0,-100.00
Leydi Blahniks,0,0,0,2,0.0,0.0,-100.00
Mexi Cola,0,0,0,2,0.0,0.0,-100.00
Our Maisy,0,0,0,2,0.0,0.0,-100.00
Wantaberomeo,0,0,0,4,0.0,0.0,-100.00
Of Importance,0,0,0,2,0.0,0.0,-100.00
Crags Road,0,0,0,2,0.0,0.0,-100.00
Golden Tart,0,0,0,3,0.0,0.0,-100.00
Mista Legend,0,0,0,2,0.0,0.0,-100.00
Evie's Pearl,0,0,0,3,0.0,0.0,-100.00
Timbaah,0,0,0,4,0.0,0.0,-100.00
Green Horizon,0,0,0,4,0.0,0.0,-100.00
Bondini,0,0,0,3,0.0,0.0,-100.00
Another Tiff,0,0,0,2,0.0,0.0,-100.00
Sahara River,0,0,0,3,0.0,0.0,-100.00
Diamond Reflection,0,0,0,2,0.0,0.0,-100.00
Eurgood,0,0,0,2,0.0,0.0,-100.00
Epsom Hill,0,0,0,3,0.0,0.0,-100.00
Hemingway Light,0,0,0,2,0.0,0.0,-100.00
Cuplapots,0,0,0,2,0.0,0.0,-100.00
Ever Loved a Woman,0,0,0,2,0.0,0.0,-100.00
Sun Peaks,0,0,0,8,0.0,0.0,-100.00
Ninjara,0,0,0,3,0.0,0.0,-100.00
Hackthorne,0,0,0,3,0.0,0.0,-100.00
Cheeky Red,0,0,0,3,0.0,0.0,-100.00
Shaerenee,0,0,0,2,0.0,0.0,-100.00
Oogenblik,0,0,0,6,0.0,0.0,-100.00
Yulong Focus,0,0,0,2,0.0,0.0,-100.00
Hussh Baby,0,0,0,2,0.0,0.0,-100.00
Imie's Look,0,0,0,3,0.0,0.0,-100.00
Florida Mist,0,0,0,2,0.0,0.0,-100.00
Delightful Grace,0,0,0,2,0.0,0.0,-100.00
Sparkling Flyer,0,0,0,3,0.0,0.0,-100.00
Ziggydooda,0,0,0,2,0.0,0.0,-100.00
California Spyder,0,0,0,3,0.0,0.0,-100.00
Isis de Vega,0,0,1,5,0.0,20.0,-100.00
Unusual,0,0,0,5,0.0,0.0,-100.00
Larbaud,0,0,0,5,0.0,0.0,-100.00
Star Watcher,0,0,0,3,0.0,0.0,-100.00
Izzi Bizzi,0,0,0,3,0.0,0.0,-100.00
Deeling Us In,0,0,0,3,0.0,0.0,-100.00
Castanea,0,0,0,2,0.0,0.0,-100.00
Cheapy Chick,0,0,0,5,0.0,0.0,-100.00
Cherax Destructor,0,0,0,2,0.0,0.0,-100.00
Yesteryear,0,0,0,6,0.0,0.0,-100.00
Positive Mind,0,0,0,2,0.0,0.0,-100.00
Romgeetta,0,0,0,2,0.0,0.0,-100.00
Staff On Strike,0,0,0,3,0.0,0.0,-100.00
Star Singer,0,0,0,2,0.0,0.0,-100.00
Fighting Legend,0,0,0,7,0.0,0.0,-100.00
Bazkir,0,0,0,2,0.0,0.0,-100.00
Ohiyesa,0,0,0,3,0.0,0.0,-100.00
Flying Conqueror,0,0,0,5,0.0,0.0,-100.00
Mcguire,0,0,0,2,0.0,0.0,-100.00
Devil's Nightkap,0,0,0,2,0.0,0.0,-100.00
Diamond Stiletto,0,0,0,3,0.0,0.0,-100.00
Extra Missile,0,0,0,3,0.0,0.0,-100.00
Respark,0,0,0,2,0.0,0.0,-100.00
Kayaconi,0,0,0,3,0.0,0.0,-100.00
So What Rock,0,0,0,3,0.0,0.0,-100.00
Farriers Favourite,0,0,0,2,0.0,0.0,-100.00
Az Lucky,0,0,0,3,0.0,0.0,-100.00
Man of Hope,0,0,0,2,0.0,0.0,-100.00
Yulong Spirit,0,0,0,2,0.0,0.0,-100.00
Flinders Deagon,0,0,0,3,0.0,0.0,-100.00
Rip Girl,0,0,0,3,0.0,0.0,-100.00
Lady Cecilia,0,0,0,3,0.0,0.0,-100.00
Renzulli,0,0,0,3,0.0,0.0,-100.00
Buck's Me Boy,0,0,0,5,0.0,0.0,-100.00
Leica Mae,0,0,0,2,0.0,0.0,-100.00
Empty Buckets,0,0,0,5,0.0,0.0,-100.00
Standing Ovation,0,0,0,2,0.0,0.0,-100.00
Kosmos Diamond,0,0,0,2,0.0,0.0,-100.00
Tycoon Whistle,0,0,0,2,0.0,0.0,-100.00
Ringaroundarosie,0,0,0,5,0.0,0.0,-100.00
Poetic Harmony,0,0,0,2,0.0,0.0,-100.00
Princess Misaka,0,0,0,4,0.0,0.0,-100.00
Alscent,0,0,0,2,0.0,0.0,-100.00
Our Eavey,0,0,0,4,0.0,0.0,-100.00
Shoeed,0,0,0,3,0.0,0.0,-100.00
Reef Island,0,0,0,4,0.0,0.0,-100.00
Li'l Aussie,0,0,0,2,0.0,0.0,-100.00
Craiglea Florida,0,0,0,3,0.0,0.0,-100.00
Fields of Heather,0,0,0,2,0.0,0.0,-100.00
The Moors,0,0,0,2,0.0,0.0,-100.00
Halfeti,0,0,1,4,0.0,25.0,-100.00
Spirited Character,0,0,0,8,0.0,0.0,-100.00
Real Deal McNeill,0,0,0,2,0.0,0.0,-100.00
Edric,0,0,0,2,0.0,0.0,-100.00
Ming Xing,0,0,0,2,0.0,0.0,-100.00
Johno's Rocket,0,0,0,6,0.0,0.0,-100.00
Trilli Filly,0,0,0,3,0.0,0.0,-100.00
Little Miss Mak,0,0,0,4,0.0,0.0,-100.00
Foxy Queen,0,0,0,2,0.0,0.0,-100.00
The Paua Fritter,0,0,1,3,0.0,33.3,-100.00
Citations,0,0,0,5,0.0,0.0,-100.00
Jupiter Calling,0,0,0,3,0.0,0.0,-100.00
Brackova,0,0,0,4,0.0,0.0,-100.00
Danelaw,0,0,0,6,0.0,0.0,-100.00
Your Knuckleship,0,0,0,2,0.0,0.0,-100.00
She Won't Listen,0,0,0,3,0.0,0.0,-100.00
Dream Project,0,0,0,4,0.0,0.0,-100.00
Chas Marlow,0,0,0,2,0.0,0.0,-100.00
Zutero,0,0,0,3,0.0,0.0,-100.00
Kathy's Spirit,0,0,0,2,0.0,0.0,-100.00
Vonconi,0,0,0,8,0.0,0.0,-100.00
Cardinet,0,0,0,3,0.0,0.0,-100.00
Wide Eyed,0,0,0,3,0.0,0.0,-100.00
Barachino,0,0,0,4,0.0,0.0,-100.00
Kev'n'roy's Pride,0,0,0,4,0.0,0.0,-100.00
Northset,0,0,0,4,0.0,0.0,-100.00
Our Kryptonite,0,0,0,2,0.0,0.0,-100.00
Aroha Te Mana,0,0,0,1,0.0,0.0,-100.00
Spy Decoder,0,0,0,4,0.0,0.0,-100.00
Footings,0,0,0,6,0.0,0.0,-100.00
Tyrrhenian,0,0,0,2,0.0,0.0,-100.00
Blueberries,0,0,0,2,0.0,0.0,-100.00
Hickson,0,0,0,2,0.0,0.0,-100.00
Roaring Trade,0,0,0,4,0.0,0.0,-100.00
Gotagarter,0,0,0,4,0.0,0.0,-100.00
All Starr Courage,0,0,0,2,0.0,0.0,-100.00
Great Shine,0,0,1,3,0.0,33.3,-100.00
Manhattan Road,0,0,0,6,0.0,0.0,-100.00
Music Magic,0,0,0,1,0.0,0.0,-100.00
Diamonds On Ruby,0,0,0,3,0.0,0.0,-100.00
Eberlee,0,0,0,1,0.0,0.0,-100.00
Harlem Star,0,0,0,2,0.0,0.0,-100.00
Malakai,0,0,0,1,0.0,0.0,-100.00
Broad Shoulders,0,0,0,2,0.0,0.0,-100.00
Star Boom,0,0,0,2,0.0,0.0,-100.00
Family Witness,0,0,0,2,0.0,0.0,-100.00
Elusive Eagle,0,0,0,1,0.0,0.0,-100.00
Prize Lily,0,0,0,3,0.0,0.0,-100.00
The Girls 'n' Me,0,0,0,4,0.0,0.0,-100.00
Whitman,0,0,0,4,0.0,0.0,-100.00
Madam Love,0,0,0,5,0.0,0.0,-100.00
Afterlife,0,0,0,1,0.0,0.0,-100.00
Destiny's Revenge,0,0,0,5,0.0,0.0,-100.00
Daredevil,0,0,0,1,0.0,0.0,-100.00
Craiglea Lorelei,0,0,0,6,0.0,0.0,-100.00
Salsa Dreaming,0,0,0,1,0.0,0.0,-100.00
Tocatchacod,0,0,0,1,0.0,0.0,-100.00
Expierroment,0,0,0,1,0.0,0.0,-100.00
Krayzelburg,0,0,0,1,0.0,0.0,-100.00
Lucky Legend,0,0,0,3,0.0,0.0,-100.00
Prosecution,0,0,0,2,0.0,0.0,-100.00
Accordian,0,0,0,3,0.0,0.0,-100.00
All In War,0,0,0,1,0.0,0.0,-100.00
Go Jabba,0,0,0,3,0.0,0.0,-100.00
Go Jabba,0,0,0,3,0.0,0.0,-100.00
Little Rocket Man,0,0,0,1,0.0,0.0,-100.00
Pure Whisper,0,0,0,5,0.0,0.0,-100.00
Eskimo River,0,0,0,1,0.0,0.0,-100.00
Look Only,0,0,0,1,0.0,0.0,-100.00
Our Mallee Hoff,0,0,0,2,0.0,0.0,-100.00
Satin Sheen,0,0,0,5,0.0,0.0,-100.00
Our Beatnik,0,0,0,3,0.0,0.0,-100.00
Cool Runnings,0,0,0,8,0.0,0.0,-100.00
Eramosa,0,0,0,4,0.0,0.0,-100.00
Lavande,0,0,0,1,0.0,0.0,-100.00
I'm With You,0,0,0,1,0.0,0.0,-100.00
Swordsman,0,0,0,1,0.0,0.0,-100.00
Military Machine,0,0,0,2,0.0,0.0,-100.00
I'm Not Sure,0,0,0,8,0.0,0.0,-100.00
Sidewalk Talk,0,0,0,4,0.0,0.0,-100.00
Tweed,0,0,0,1,0.0,0.0,-100.00
Dirtomic,0,0,0,4,0.0,0.0,-100.00
Brimstone,0,0,0,3,0.0,0.0,-100.00
Double Deposit,0,0,0,1,0.0,0.0,-100.00
El Greco,0,0,0,6,0.0,0.0,-100.00
Excelips,0,0,0,2,0.0,0.0,-100.00
Dortmund,0,0,0,1,0.0,0.0,-100.00
Shesafan,0,0,0,2,0.0,0.0,-100.00
Magnalane,0,0,0,2,0.0,0.0,-100.00
Heavenly Dream,0,0,0,4,0.0,0.0,-100.00
Tennessee Nikka,0,0,0,1,0.0,0.0,-100.00
Premiere Place,0,0,0,5,0.0,0.0,-100.00
Maadaak,0,0,0,4,0.0,0.0,-100.00
Fabulosa,0,0,0,2,0.0,0.0,-100.00
Rubytoo,0,0,1,3,0.0,33.3,-100.00
Out Fox'em,0,0,0,3,0.0,0.0,-100.00
Almost Alice,0,0,0,1,0.0,0.0,-100.00
Dreadlock,0,0,0,1,0.0,0.0,-100.00
Uncle Kenneth,0,0,1,3,0.0,33.3,-100.00
Wan Chi Warrior,0,0,0,3,0.0,0.0,-100.00
Travers,0,0,0,5,0.0,0.0,-100.00
Amicus Agrippa,0,0,0,1,0.0,0.0,-100.00
Megalodon,0,0,0,1,0.0,0.0,-100.00
Foliage,0,0,0,2,0.0,0.0,-100.00
Plaquette,0,0,0,1,0.0,0.0,-100.00
Snipps Parade,0,0,0,3,0.0,0.0,-100.00
Poldark,0,0,0,2,0.0,0.0,-100.00
Trix,0,0,0,3,0.0,0.0,-100.00
Fordyce Knight,0,0,1,6,0.0,16.7,-100.00
Written Wonder,0,0,0,1,0.0,0.0,-100.00
Judge Jeuny,0,0,0,2,0.0,0.0,-100.00
Isis Jectale,0,0,0,3,0.0,0.0,-100.00
Our Sebring,0,0,0,1,0.0,0.0,-100.00
Normanton,0,0,0,4,0.0,0.0,-100.00
Gooky's Gift,0,0,0,3,0.0,0.0,-100.00
Tamlika,0,0,0,2,0.0,0.0,-100.00
Lis de Lune,0,0,0,1,0.0,0.0,-100.00
Line Up,0,0,0,5,0.0,0.0,-100.00
I'm No Ruby,0,0,0,7,0.0,0.0,-100.00
Craiglea Eskimo,0,0,0,3,0.0,0.0,-100.00
Benovsky,0,0,0,6,0.0,0.0,-100.00
Nic's Time,0,0,0,3,0.0,0.0,-100.00
Call Me Penny,0,0,1,6,0.0,16.7,-100.00
Onemore Jewel,0,0,0,2,0.0,0.0,-100.00
Hayate,0,0,0,1,0.0,0.0,-100.00
Denmix,0,0,0,3,0.0,0.0,-100.00
Felix Bay,0,0,0,2,0.0,0.0,-100.00
Charlie Rocket,0,0,0,3,0.0,0.0,-100.00
Ziebell,0,0,0,2,0.0,0.0,-100.00
Field Of Boaz,0,0,0,1,0.0,0.0,-100.00
Yankee Toff,0,0,0,2,0.0,0.0,-100.00
Nullarbor,0,0,0,2,0.0,0.0,-100.00
Deadly Impact,0,0,0,1,0.0,0.0,-100.00
Brazen Saint,0,0,0,1,0.0,0.0,-100.00
Danish Gold Digger,0,0,0,2,0.0,0.0,-100.00
Rochester,0,0,0,1,0.0,0.0,-100.00
Alan Alan Steve,0,0,0,3,0.0,0.0,-100.00
Shenzi,0,0,0,1,0.0,0.0,-100.00
Matello,0,0,0,1,0.0,0.0,-100.00
Don't Tell Pete,0,0,0,4,0.0,0.0,-100.00
Tawhaki,0,0,0,2,0.0,0.0,-100.00
Swanky Lady,0,0,0,2,0.0,0.0,-100.00
Divertente,0,0,0,2,0.0,0.0,-100.00
Battenburg,0,0,0,1,0.0,0.0,-100.00
Faeaqua,0,0,0,3,0.0,0.0,-100.00
Amaya,0,0,0,3,0.0,0.0,-100.00
Graceful Wolf,0,0,1,7,0.0,14.3,-100.00
Parisian Tycoon,0,0,0,1,0.0,0.0,-100.00
Soft Slipper,0,0,0,1,0.0,0.0,-100.00
Tephra,0,0,0,1,0.0,0.0,-100.00
Price Ona Goodtime,0,0,0,4,0.0,0.0,-100.00
Brian's Lass,0,0,0,4,0.0,0.0,-100.00
Baltic Prince,0,0,1,4,0.0,25.0,-100.00
Ilovethislady,0,0,0,1,0.0,0.0,-100.00
Ruby Sea,0,0,0,3,0.0,0.0,-100.00
Kalashani Gem,0,0,1,3,0.0,33.3,-100.00
Dollar Dandy,0,0,0,3,0.0,0.0,-100.00
Bold Temptation,0,0,0,5,0.0,0.0,-100.00
Surging to Win,0,0,0,3,0.0,0.0,-100.00
Aeroplane,0,0,0,2,0.0,0.0,-100.00
I Am Dan,0,0,0,4,0.0,0.0,-100.00
Rose of Biscay,0,0,0,2,0.0,0.0,-100.00
Group Session,0,0,0,7,0.0,0.0,-100.00
Acker's Way,0,0,0,3,0.0,0.0,-100.00
Woodley's Gold,0,0,0,2,0.0,0.0,-100.00
Invincible Angel,0,0,0,2,0.0,0.0,-100.00
Group Session,0,0,0,7,0.0,0.0,-100.00
Sizzalating,0,0,0,2,0.0,0.0,-100.00
Dr Vandi,0,0,0,2,0.0,0.0,-100.00
Proxy,0,0,0,5,0.0,0.0,-100.00
Valmont,0,0,0,8,0.0,0.0,-100.00
Flytego,0,0,0,4,0.0,0.0,-100.00
Hue And Cry,0,0,1,4,0.0,25.0,-100.00
Bigshow Littletent,0,0,0,2,0.0,0.0,-100.00
Speed With Ease,0,0,0,3,0.0,0.0,-100.00
Festive Excess,0,0,0,2,0.0,0.0,-100.00
Mixed Up Grey,0,0,0,2,0.0,0.0,-100.00
Hussar Hughes,0,0,0,5,0.0,0.0,-100.00
Rezak,0,0,0,5,0.0,0.0,-100.00
Illyrian,0,0,0,2,0.0,0.0,-100.00
Eager Street,0,0,0,2,0.0,0.0,-100.00
Love Is Blind,0,0,0,2,0.0,0.0,-100.00
Snitz 'n' Glitz,0,0,0,4,0.0,0.0,-100.00
Kia Ora Choice,0,0,0,2,0.0,0.0,-100.00
Jessie Prevails,0,0,0,5,0.0,0.0,-100.00
Harden Up Tiger,0,0,0,2,0.0,0.0,-100.00
Tyrion's Crown,0,0,0,8,0.0,0.0,-100.00
Mustang Yabby,0,0,0,2,0.0,0.0,-100.00
Astrabrook,0,0,0,2,0.0,0.0,-100.00
Argyle Miss,0,0,0,3,0.0,0.0,-100.00
Koranis,0,0,0,5,0.0,0.0,-100.00
Prince O'lara,0,0,0,3,0.0,0.0,-100.00
Call Me Spice,0,0,0,5,0.0,0.0,-100.00
Karijini Blue,0,0,0,7,0.0,0.0,-100.00
Gee Gee Ladybird,0,0,0,3,0.0,0.0,-100.00
Jumbo,0,0,0,5,0.0,0.0,-100.00
Shecky's Mate,0,0,0,7,0.0,0.0,-100.00
Rock'n'rollrock,0,0,0,3,0.0,0.0,-100.00
Orazio,0,0,0,1,0.0,0.0,-100.00
Via Capo,0,0,0,2,0.0,0.0,-100.00
Rajo Miss,0,0,0,2,0.0,0.0,-100.00
Philfy Rich,0,0,0,1,0.0,0.0,-100.00
Mississippi Flyer,0,0,0,1,0.0,0.0,-100.00
Alqaab,0,0,0,1,0.0,0.0,-100.00
Needa,0,0,0,1,0.0,0.0,-100.00
On Kileys Run,0,0,0,2,0.0,0.0,-100.00
Revelio,0,0,0,3,0.0,0.0,-100.00
Caudan,0,0,0,1,0.0,0.0,-100.00
Hu Called the Cops,0,0,0,7,0.0,0.0,-100.00
Yanacocha,0,0,0,1,0.0,0.0,-100.00
Reverberating,0,0,0,8,0.0,0.0,-100.00
Woolsthorpe Reign,0,0,0,1,0.0,0.0,-100.00
Gold Producer,0,0,0,2,0.0,0.0,-100.00
Lord Minty,0,0,0,1,0.0,0.0,-100.00
Ocean Twelve,0,0,0,2,0.0,0.0,-100.00
Moirae,0,0,0,4,0.0,0.0,-100.00
Dark Key,0,0,0,6,0.0,0.0,-100.00
Dash of Pash,0,0,0,1,0.0,0.0,-100.00
Yulong Space,0,0,0,1,0.0,0.0,-100.00
Bureaucrat,0,0,0,1,0.0,0.0,-100.00
Sarteano Star,0,0,0,3,0.0,0.0,-100.00
Vanderwink,0,0,0,3,0.0,0.0,-100.00
Addictions,0,0,0,1,0.0,0.0,-100.00
Prophecies,0,0,0,1,0.0,0.0,-100.00
Mister Prickles,0,0,0,1,0.0,0.0,-100.00
Judge Jeanine,0,0,0,1,0.0,0.0,-100.00
King Kiritan,0,0,0,1,0.0,0.0,-100.00
Exotic Fever,0,0,0,4,0.0,0.0,-100.00
Betty Bullet,0,0,0,5,0.0,0.0,-100.00
Locust,0,0,0,5,0.0,0.0,-100.00
Katandra,0,0,0,2,0.0,0.0,-100.00
American Hipster,0,0,0,4,0.0,0.0,-100.00
Almighty Will,0,0,0,1,0.0,0.0,-100.00
Kevin's Time,0,0,0,3,0.0,0.0,-100.00
Florent,0,0,0,1,0.0,0.0,-100.00
Delightful Scoop,0,0,0,5,0.0,0.0,-100.00
Kyrie Eleison,0,0,0,4,0.0,0.0,-100.00
Pure Legend,0,0,0,1,0.0,0.0,-100.00
Tchotchke,0,0,0,6,0.0,0.0,-100.00
Recognise,0,0,0,1,0.0,0.0,-100.00
Rhythm Dancer,0,0,0,2,0.0,0.0,-100.00
Vixen Lass,0,0,0,2,0.0,0.0,-100.00
Leshem,0,0,0,2,0.0,0.0,-100.00
Bels Impact,0,0,0,3,0.0,0.0,-100.00
Fassler,0,1,0,2,0.0,50.0,-100.00
Firerise,0,0,0,2,0.0,0.0,-100.00
Sports Tycoon,0,0,0,3,0.0,0.0,-100.00
Unbounded,0,0,0,2,0.0,0.0,-100.00
Faye's Opal,0,0,0,2,0.0,0.0,-100.00
Super Bazooka,0,0,0,1,0.0,0.0,-100.00
Many Rewards,0,0,0,2,0.0,0.0,-100.00
Crooked Creek,0,0,0,1,0.0,0.0,-100.00
All For Harry,0,0,0,2,0.0,0.0,-100.00
Golden Eclipse,0,0,0,2,0.0,0.0,-100.00
Zelago,0,0,0,3,0.0,0.0,-100.00
Bye Bye Benji,0,0,0,4,0.0,0.0,-100.00
Stardom Mist,0,0,0,4,0.0,0.0,-100.00
Harbour Breeze,0,0,0,3,0.0,0.0,-100.00
Oziecho,0,0,0,2,0.0,0.0,-100.00
Lady Animalia,0,0,0,2,0.0,0.0,-100.00
Magic Mary,0,0,0,2,0.0,0.0,-100.00
Poor Corner,0,0,0,2,0.0,0.0,-100.00
Joya,0,0,0,2,0.0,0.0,-100.00
Reify,0,0,0,3,0.0,0.0,-100.00
Rathvilly Miss,0,0,0,2,0.0,0.0,-100.00
Gerrylarose,0,0,0,2,0.0,0.0,-100.00
Heaney,0,0,0,2,0.0,0.0,-100.00
Leaven of Malice,0,0,0,2,0.0,0.0,-100.00
Camouflage Girl,0,0,0,2,0.0,0.0,-100.00
Dreams Out West,0,0,0,2,0.0,0.0,-100.00
Caper,0,0,0,3,0.0,0.0,-100.00
Little Hot Missile,0,0,0,2,0.0,0.0,-100.00
Patriotic,0,0,0,1,0.0,0.0,-100.00
St Joeys,0,0,0,1,0.0,0.0,-100.00
Banjo Man,0,0,0,5,0.0,0.0,-100.00
Highly Intrusive,0,0,0,1,0.0,0.0,-100.00
Hassle,0,0,0,1,0.0,0.0,-100.00
Writeoff,0,0,0,1,0.0,0.0,-100.00
Carmelites,0,0,0,1,0.0,0.0,-100.00
Momentus Deel,0,0,0,2,0.0,0.0,-100.00
Yoshi Mokuyo,0,0,0,1,0.0,0.0,-100.00
Bolde Abby,0,0,0,1,0.0,0.0,-100.00
Majestic Missile,0,0,0,1,0.0,0.0,-100.00
Raktoff,0,0,0,1,0.0,0.0,-100.00
Countess Queen,0,0,0,1,0.0,0.0,-100.00
You Got It,0,0,0,1,0.0,0.0,-100.00
Sutcliffe,0,0,0,1,0.0,0.0,-100.00
Star Jan,0,0,0,1,0.0,0.0,-100.00
Renouf,0,0,0,1,0.0,0.0,-100.00
Crack a Lightning,0,0,0,5,0.0,0.0,-100.00
Austreet,0,0,0,2,0.0,0.0,-100.00
Ritabel,0,0,0,5,0.0,0.0,-100.00
Unbridled Princess,0,0,0,3,0.0,0.0,-100.00
Mosero,0,0,0,4,0.0,0.0,-100.00
Prince of Thebes,0,0,0,2,0.0,0.0,-100.00
Epiffany,0,0,0,5,0.0,0.0,-100.00
Go Loose,0,0,0,3,0.0,0.0,-100.00
Hey Amigo,0,0,0,2,0.0,0.0,-100.00
Trinidad,0,0,0,4,0.0,0.0,-100.00
Maniototo,0,0,0,2,0.0,0.0,-100.00
Lingo,0,0,1,4,0.0,25.0,-100.00
Autumn Lass,0,0,1,1,0.0,100.0,-100.00
Letsgetsideways,0,0,0,5,0.0,0.0,-100.00
Earzaburning,0,0,1,1,0.0,100.0,-100.00
Fond Ms,0,0,0,4,0.0,0.0,-100.00
Jagemup,0,0,0,3,0.0,0.0,-100.00
Scarlet Speedster,0,0,0,5,0.0,0.0,-100.00
Syvel Gold,0,0,0,2,0.0,0.0,-100.00
Lunch With Coops,0,0,0,2,0.0,0.0,-100.00
Billy Bayou,0,0,0,2,0.0,0.0,-100.00
Greta Affair,0,0,0,4,0.0,0.0,-100.00
Kuril Fox,0,0,0,3,0.0,0.0,-100.00
Major Disruption,0,0,0,1,0.0,0.0,-100.00
Groovester,0,0,0,2,0.0,0.0,-100.00
Lunch With Coops,0,0,0,2,0.0,0.0,-100.00
Speed Angel,0,0,0,1,0.0,0.0,-100.00
Groovester,0,0,0,2,0.0,0.0,-100.00
Amitto,0,0,0,1,0.0,0.0,-100.00
Billy Bayou,0,0,0,2,0.0,0.0,-100.00
Maximoo,0,0,0,4,0.0,0.0,-100.00
Denman Dancer,0,0,0,5,0.0,0.0,-100.00
Rockaway Beach,0,0,0,3,0.0,0.0,-100.00
Kislina,0,0,0,1,0.0,0.0,-100.00
Kuril Fox,0,0,0,3,0.0,0.0,-100.00
Major Disruption,0,0,0,1,0.0,0.0,-100.00
I Am Furious,0,0,0,1,0.0,0.0,-100.00
Cosmic Rhapsody,0,0,0,1,0.0,0.0,-100.00
